Org Name,CN,Cert
"True IP Solutions","SHAKEN 721J","https://certificates.clearip.com/a1df4bf4-8858-47bb-9388-835c5c7cb5c4/c444a025b79edfc6845719a4946375dd.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/147d5d28d3b8083f0b068b2d530caa59.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/566e1ccf948dacabc3abdaa99e668eb5.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/59d21baf9d538dbde3950d938f2afaf9.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/615bf0d5dc2548fbf2877af69489316b.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/6a5c31c11c8abcf08896a7045502d541.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/6e47bae2800651ab32507e14aee5c135.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/871560c88edd60cdf05c85bf9eae2bf1.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/a6eb57dd1b17f42d3931027cb652bb53.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/d409e2ad06ca8da0eec3208c6f98c46f.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/df09a6def78f6ee9cf90e390af802924.pem"
"Viirtue","SHAKEN 790J","https://certificates.clearip.com/a429df3a-62d2-4851-90c8-fc446859fb08/eb3b9185da90cc504f48d54c5662f6b0.pem"
"Cloud Voice Tel","SHAKEN 111K","https://certificates.clearip.com/ae8a8a64-668f-4934-823d-42ebc587f82a/af862ae5ed3fbfa249b1c23dfb7b7ec6.pem"
"Hypercore Networks, Inc","SHAKEN 291K","https://certificates.clearip.com/b66a7496-cdd4-46e3-b219-cb0ecdc80d22/1925a83113629fb0818d64cdf29274e3.pem"
"Hypercore Networks, Inc","SHAKEN 291K","https://certificates.clearip.com/b66a7496-cdd4-46e3-b219-cb0ecdc80d22/23aa100ba148645352a6352cdc133a5e.pem"
"Hypercore Networks, Inc","SHAKEN 291K","https://certificates.clearip.com/b66a7496-cdd4-46e3-b219-cb0ecdc80d22/683b5c97b341c10e960f09e32c13d17b.pem"
"Hypercore Networks, Inc","SHAKEN 291K","https://certificates.clearip.com/b66a7496-cdd4-46e3-b219-cb0ecdc80d22/dd9ef96fbf98f0935e2baf5a0813aabc.pem"
"Hypercore Networks, Inc","SHAKEN 291K","https://certificates.clearip.com/b66a7496-cdd4-46e3-b219-cb0ecdc80d22/f10a6e2814430717be9d18e253b564a3.pem"
"Victory Telecom Inc.","SHAKEN 625J","https://certificates.clearip.com/b7343686-5ed8-402c-89a3-8bf1a3d48975/1b6c455dcc3cd7586f99609b4a7291af.pem"
"Victory Telecom Inc.","SHAKEN 625J","https://certificates.clearip.com/b7343686-5ed8-402c-89a3-8bf1a3d48975/1c896d70e07d655d9b044626a079c628.pem"
"Victory Telecom Inc.","SHAKEN 625J","https://certificates.clearip.com/b7343686-5ed8-402c-89a3-8bf1a3d48975/61649b0719ddf13f46df03bd3ca7845a.pem"
"Victory Telecom Inc.","SHAKEN 625J","https://certificates.clearip.com/b7343686-5ed8-402c-89a3-8bf1a3d48975/9152c149094a3c0a73bbaf2924b00f92.pem"
"NetDiverse, LLC","SHAKEN 035K","https://certificates.clearip.com/ba9a1ccc-cb72-4d11-a5b3-b1211e6dea1b/698301eb576be26ebf75aefbdb9424bb.pem"
"VC3","SHAKEN 120K","https://certificates.clearip.com/bcb89748-38e2-45ae-8b54-7efd23525de2/3701279a130218d9cf05b967e8e024e3.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/1bea1990876ed0d9a57ab06de5d6287c.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/3736b04dc42f5ada9a09a104fca6a61c.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/549c28c1f559ab7545480e687c43408c.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/7ff006ca94b186e33549b589f56c1eb3.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/897fa3e29271bf32eab3c75497799673.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/abfdcb1e7dbf5ef3d68ea7f1f6d01f8b.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/b6580ee349b2c3d8a252f43d6a4463d9.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/b6e16a069826354fdc7c02b28498f794.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/c87242a77a0f6c176582d45276917250.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/d58177517e0fc14f20907e0e296f47f6.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/d8d9ca0c3b6167b3a8bb8385756c7f37.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/df27796e2058ebd3153fb6dd48e8ce57.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/e054aab41422166cb18f62755c06360b.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/e3b406072c0da8e66d09887b625ab202.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/e4482eee5ba50d1b292ef965ad02173b.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/e50490d5def5f9ec5651a0b5693c0a1c.pem"
"SIP.US LLC","SHAKEN 738J","https://certificates.clearip.com/bd65ad46-d349-42b3-b28c-24436475d793/ee66975ddbdbc294e0910d0159da1049.pem"
"Altaworx","SHAKEN 459J","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/322d7c5da941a6d008ec9cd6a3ef2ee5.pem"
"Altaworx","SHAKEN 459J","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/3466ee3b82c293fa63280340085412c2.pem"
"Altaworx","SHAKEN 459J","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/37973387be9bb46b6809434a47baf56e.pem"
"Altaworx","SHAKEN 459J","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/3caad53466f33f917b5c468042ec6609.pem"
"Altaworx","SHAKEN 459J","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/3e54132d665b1cff63150bfe25d7dcdf.pem"
"Altaworx","SHAKEN 459J","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/45f1878035854e922faea72e3c199405.pem"
"Altaworx","SHAKEN 459J","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/50585fdb2ec004a4629376b434cffe6c.pem"
"Altaworx","SHAKEN 459J","https://certificates.clearip.com/d3d6dbfc-2914-49c7-8f47-d0aa5bd5d764/50fb67f5412e57d0eb00df7cd191887f.pem"
