OCN,Org Name,CN,Cert
"5807","Verizon Data Services LLC","SHAKEN 5807","https://sti.verizon.com/vzwcert/vzshakenG-01-2026.pem"
"583J","Broadband Dynamics LLC","SHAKEN 583J","https://sti-cr.brandedcallingid.com/ff60acbcb6bae98665e9c49b688736a8c08d.pem"
